age,placement_id,the_date,house_id,farm_id,temperature_min,humidity_morning,daily_weight,daily_first_feed_intake,daily_second_feed_intake,daily_mortality,daily_loss,total_meds,birds_density,season_encoded
0,162,2023-01-09,140,15,28.0,52.0,42.0,0.0,0.0,0.0,0.0,0.0,822.737556561086,2
1,162,2023-01-10,140,15,28.0,52.0,50.0,0.0,0.0,120.0,120.0,0.0,979.4494720965309,2
2,162,2023-01-11,140,15,28.0,52.0,70.0,0.0,0.0,90.0,90.0,0.0,1364.894419306184,2
3,162,2023-01-12,140,15,28.0,52.0,90.0,0.0,0.0,70.0,70.0,0.0,1748.7556561085973,2
4,162,2023-01-13,140,15,28.0,52.0,110.0,0.0,0.0,60.0,60.0,0.0,2131.561085972851,2
5,162,2023-01-14,140,15,28.0,52.0,140.0,0.0,0.0,55.0,55.0,0.0,2706.561085972851,2
6,162,2023-01-15,140,15,28.0,52.0,165.0,0.0,0.0,48.0,48.0,0.0,3183.031674208145,2
7,162,2023-01-16,140,15,28.0,52.0,188.0,0.0,0.0,50.0,50.0,0.0,3619.921568627451,2
8,162,2023-01-17,140,15,28.0,52.0,215.0,0.0,0.0,47.0,47.0,0.0,4131.696832579186,2
9,162,2023-01-18,140,15,28.0,52.0,253.0,0.0,0.0,39.0,39.0,0.0,4852.982654600301,2
10,162,2023-01-19,140,15,28.0,52.0,290.0,0.0,0.0,38.0,38.0,0.0,5554.177978883861,2
11,162,2023-01-20,140,15,28.0,52.0,321.0,0.0,0.0,43.0,43.0,0.0,6138.701357466063,2
12,162,2023-01-21,140,15,28.0,52.0,363.0,0.0,0.0,39.0,39.0,0.0,6930.12443438914,2
13,162,2023-01-22,140,15,28.0,52.0,424.0,0.0,0.0,34.0,34.0,0.0,8082.220211161388,2
14,162,2023-01-23,140,15,28.0,52.0,476.0,0.0,0.0,30.0,30.0,0.0,9061.23076923077,2
15,162,2023-01-24,140,15,28.0,52.0,543.0,0.0,0.0,34.0,34.0,0.0,10324.371040723981,2
16,162,2023-01-25,140,15,28.0,52.0,609.0,0.0,0.0,31.0,31.0,0.0,11563.651583710407,2
17,162,2023-01-26,140,15,28.0,52.0,678.0,0.0,0.0,35.0,35.0,0.0,12857.968325791855,2
18,162,2023-01-27,140,15,28.0,52.0,761.0,0.0,0.0,32.0,32.0,0.0,14411.939668174962,2
19,162,2023-01-28,140,15,28.0,52.0,842.0,0.0,0.0,31.0,31.0,0.0,15925.610859728507,2
20,162,2023-01-29,140,15,28.0,52.0,940.0,0.0,0.0,30.0,30.0,0.0,17757.209653092006,2
21,162,2023-01-30,140,15,28.0,52.0,1006.0,0.0,0.0,33.0,33.0,0.0,18981.232277526397,2
22,162,2023-01-31,140,15,28.0,52.0,1095.0,0.0,0.0,32.0,32.0,0.0,20633.235294117647,2
23,162,2023-02-01,140,15,28.0,52.0,1185.0,0.0,0.0,36.0,36.0,0.0,22300.52036199095,2
24,162,2023-02-02,140,15,28.0,52.0,1257.0,0.0,0.0,40.0,40.0,0.0,23621.361990950227,2
25,162,2023-02-03,140,15,28.0,52.0,1326.0,0.0,0.0,48.0,48.0,0.0,24878.0,2
26,162,2023-02-04,140,15,28.0,52.0,1403.0,0.0,0.0,50.0,50.0,0.0,26271.86274509804,2
27,162,2023-02-05,140,15,28.0,52.0,1480.0,0.0,0.0,60.0,60.0,0.0,27657.9185520362,2
28,162,2023-02-06,140,15,28.0,52.0,1595.0,0.0,0.0,67.0,67.0,0.0,29734.841628959275,2
29,162,2023-02-07,140,15,28.0,52.0,1665.0,0.0,0.0,70.0,70.0,0.0,30955.69004524887,2
30,162,2023-02-08,140,15,28.0,52.0,1765.0,0.0,0.0,85.0,85.0,0.0,32721.71568627451,2
0,163,2023-01-09,139,15,28.0,52.0,41.0,0.0,0.0,0.0,0.0,0.0,802.8393665158371,2
1,163,2023-01-10,139,15,28.0,52.0,53.0,0.0,0.0,215.0,215.0,0.0,1037.816742081448,2
2,163,2023-01-11,139,15,28.0,52.0,70.0,0.0,0.0,165.0,165.0,0.0,1359.3514328808446,2
3,163,2023-01-12,139,15,28.0,52.0,90.0,0.0,0.0,130.0,130.0,0.0,1736.5384615384614,2
4,163,2023-01-13,139,15,28.0,52.0,110.0,0.0,0.0,85.0,85.0,0.0,2111.651583710407,2
5,163,2023-01-14,139,15,28.0,52.0,140.0,0.0,0.0,70.0,70.0,0.0,2678.5822021116137,2
6,163,2023-01-15,139,15,28.0,52.0,165.0,0.0,0.0,50.0,50.0,0.0,3148.190045248869,2
7,163,2023-01-16,139,15,28.0,52.0,190.0,0.0,0.0,65.0,65.0,0.0,3618.024132730015,2
8,163,2023-01-17,139,15,28.0,52.0,218.0,0.0,0.0,63.0,63.0,0.0,4140.52036199095,2
9,163,2023-01-18,139,15,28.0,52.0,256.0,0.0,0.0,50.0,50.0,0.0,4850.099547511312,2
10,163,2023-01-19,139,15,28.0,52.0,292.0,0.0,0.0,47.0,47.0,0.0,5521.1342383107085,2
11,163,2023-01-20,139,15,28.0,52.0,328.0,0.0,0.0,65.0,65.0,0.0,6190.196078431372,2
12,163,2023-01-21,139,15,28.0,52.0,366.0,0.0,0.0,50.0,50.0,0.0,6889.411764705882,2
13,163,2023-01-22,139,15,28.0,52.0,422.0,0.0,0.0,40.0,40.0,0.0,7927.616892911011,2
14,163,2023-01-23,139,15,28.0,52.0,475.0,0.0,0.0,38.0,38.0,0.0,8908.93665158371,2
15,163,2023-01-24,139,15,28.0,52.0,532.0,0.0,0.0,40.0,40.0,0.0,9962.763197586726,2
16,163,2023-01-25,139,15,28.0,52.0,612.0,0.0,0.0,42.0,42.0,0.0,11442.461538461539,2
17,163,2023-01-26,139,15,28.0,52.0,676.0,0.0,0.0,38.0,38.0,0.0,12617.64705882353,2
18,163,2023-01-27,139,15,28.0,52.0,750.0,0.0,0.0,40.0,40.0,0.0,13977.37556561086,2
19,163,2023-01-28,139,15,28.0,52.0,828.0,0.0,0.0,42.0,42.0,0.0,15406.045248868779,2
